Alpaka,Alpaca,2,A,Normal,Familie,Karten,6.5,2023,2,4,30,30,10,1.79,,,,https://boardgamegeek.com/boardgame/391045/alpaca
Altay,,2,A,Normal,Strategie,Brett,6.9,2024,2,4,45,90,10,2.22,,,,https://boardgamegeek.com/boardgame/334537/altay-dawn-of-civilization
Amul,,2,A,Normal,Strategie,Karten,6.9,2019,3,8,30,45,10,2.11,,,,https://boardgamegeek.com/boardgame/260710/amul
Ananda,,1,A,Normal,Familie,Brett,7,2024,2,4,30,45,10,1,,,,https://boardgamegeek.com/boardgame/428577/ananda
Ancient Knowledge,,2,A,Normal,Strategie,Tableau,7.1,2023,2,4,75,75,12,2.71,,,,https://boardgamegeek.com/boardgame/338093/ancient-knowledge
Andor Junior,,2,A,Normal,Familie,Brett,7.3,2020,2,4,30,45,5,1.87,x,,,https://boardgamegeek.com/boardgame/295488/andor-the-family-fantasy-game
Andor Junior,,3,A,Kind,Familie,Brett,7.3,2020,2,4,30,45,5,1.87,x,,,https://boardgamegeek.com/boardgame/295488/andor-the-family-fantasy-game
Animal Rescue,,1,A,Normal,Familie,Würfel,6.3,2020,1,5,15,20,6,1,,,,https://boardgamegeek.com/boardgame/298705/animal-rescue
Animals on Board,,1,A,Normal,Familie,Plättchen,6.5,2016,2,4,15,30,8,1.52,,,,https://boardgamegeek.com/boardgame/191572/animals-on-board
Anno 1503,,1,A,Normal,Familie,Brett,6.2,2003,2,4,90,90,10,2.33,,,,https://boardgamegeek.com/boardgame/8166/anno-1503
Anno 1701: Das Kartenspiel,,1,A,Zwei,Strategie,Karten,6.3,2007,2,2,60,60,10,2.2,,,,https://boardgamegeek.com/boardgame/27802/anno-1701-das-kartenspiel
Antike,,1,A,Normal,Strategie,Brett,7.1,2005,2,6,120,120,12,2.99,,,,https://boardgamegeek.com/boardgame/19600/antike
Anubixx,,2,A,Karten,Familie,Würfel,6.2,2019,2,5,20,20,8,1.2,,,,https://boardgamegeek.com/boardgame/287693/anubixx
Ape Town,,2,A,Normal,Strategie,Brett,7,2025,2,4,45,60,8,2.5,,,,https://boardgamegeek.com/boardgame/412123/ape-town
"April, April",,1,A,Kind,Geschick,Brett,6.3,2022,1,4,20,20,5,1,x,,,https://boardgamegeek.com/boardgame/408940/april-april
Aqua Sphere,Aquasphere,1,A,Normal,Strategie,Brett,7.6,2019,2,4,100,100,12,3.83,,,,https://boardgamegeek.com/boardgame/289223/aquasphere
Aqua: Biodiversity in the Oceans,,1,A,Normal,Familie,Plättchen,7.3,2024,1,4,30,45,8,2,,,,https://boardgamegeek.com/boardgame/403468/aqua-biodiversity-in-the-oceans
Aquaria,,1,A,Normal,Strategie,Tableau,7.3,2025,1,4,45,120,12,3,,,x,https://boardgamegeek.com/boardgame/443932/aquaria
Arcana Rising,,1,A,Normal,Familie,Tableau,6.9,2022,1,6,20,60,10,2.11,,,,https://boardgamegeek.com/boardgame/309408/arcana-rising
ArcheOlogic,,2,A,Normal,Familie,Tableau,7.1,2023,1,4,45,45,12,2.57,,,,https://boardgamegeek.com/boardgame/386148/archeologic
Architekten des Westfrankenreichs,,1,A,Normal,Strategie,Brett,7.7,2018,1,5,60,80,10,2.76,,,,https://boardgamegeek.com/boardgame/236457/architects-of-the-west-kingdom
Arctic Scavengers: Überleben im Jahr 2097,,1,A,Normal,Familie,Brett,7.2,2015,1,5,45,60,12,2.26,,,,https://boardgamegeek.com/boardgame/174226/arctic-scavengers-base-game-plus-hq-plus-recon/versions
Armadillo,,2,A,Karten,Familie,Karten,6.7,2022,2,6,20,20,6,1,,,,https://boardgamegeek.com/boardgame/368109/armadillo
Art Gallery,,1,A,Normal,Familie,Brett,6.9,2023,2,6,45,75,10,2.05,,,,https://boardgamegeek.com/boardgame/369395/art-gallery
Artengarten,Sanctuary Arten Garten,2,A,Normal,Strategie,Plättchen,7.6,2025,1,5,40,100,10,2.92,,,x,https://boardgamegeek.com/boardgame/441696/sanctuary
Artischocken,,1,A,Karten,Familie,Karten,6.6,2020,2,4,20,20,8,1.26,,,,https://boardgamegeek.com/boardgame/302260/abandon-all-artichokes
Asante,,2,A,Zwei,Familie,Karten,6.8,2013,2,2,40,40,10,2,,,,https://boardgamegeek.com/boardgame/136056/asante
Asterix Zank um den Trank,,1,A,Karten,Familie,Plättchen,6.2,2017,2,4,10,15,8,1.1,,,,https://boardgamegeek.com/boardgame/258087/asterix-zank-um-den-trank
Astrobienen,Apiary,2,A,Normal,Strategie,Tableau,7.8,2023,1,5,60,90,14,2.95,,,x,https://boardgamegeek.com/boardgame/400314/apiary
Atiwa,,2,A,Normal,Strategie,Tableau,7.5,2022,1,4,30,120,12,2.72,,,,https://boardgamegeek.com/boardgame/362452/atiwa
Atua,,3,A,Normal,Familie,Karten,6.7,2023,1,6,30,30,8,1.8,,,,https://boardgamegeek.com/boardgame/330311/atua
Au Backe!,,1,A,Kind,Familie,Material,5.9,2001,2,6,15,15,4,1.07,,,,https://boardgamegeek.com/boardgame/3507/
Auf nach Indien!,,1,A,Normal,Strategie,Tableau,6.7,2013,3,4,60,60,12,2.21,,,,https://boardgamegeek.com/boardgame/141736/sail-to-india
Aufbruch zum Roten Planeten,,1,A,Normal,Strategie,Brett,7.4,2015,2,6,45,90,10,2.2,,,,https://boardgamegeek.com/boardgame/176920/mission-red-planet-secondthird-edition
Aufstieg der Gilden,,1,A,Normal,Strategie,Tableau,6.5,2017,2,4,60,90,10,2.36,,,,https://boardgamegeek.com/boardgame/194019/guilds
Augsburg 1520,,1,A,Normal,Strategie,Tableau,6.4,2006,2,5,25,75,12,2.66,,,,https://boardgamegeek.com/boardgame/21892/augsburg-1520
Aurum,,2,A,Normal,Familie,Karten,7.1,2023,3,4,30,45,7,2,,,,https://boardgamegeek.com/boardgame/383459/aurum
Ausgerechnet Buxtehude,,1,A,Karten,Quiz,Karten,6.4,2005,2,6,20,20,12,1.38,,,,https://boardgamegeek.com/boardgame/20761/ausgerechnet-buxtehude
Ausgerechnet Fernweh,,1,A,Karten,Quiz,Karten,6.7,2015,2,6,20,20,10,1.3,,,,https://boardgamegeek.com/boardgame/171546/ausgerechnet-fernweh
Ausgerechnet Honolulu,,1,A,Karten,Quiz,Karten,6.2,2011,2,6,20,20,10,1.1,,,,https://boardgamegeek.com/boardgame/91425/map-it-world-edition
Ausgerechnet Uppsala,,4,A,Karten,Quiz,Karten,6.5,2006,2,6,20,20,12,1.31,,,,https://boardgamegeek.com/boardgame/26156/ausgerechnet-uppsala
Australis,,2,A,Normal,Familie,Brett,7.1,2024,2,4,60,60,8,2,,,,https://boardgamegeek.com/boardgame/419720/australis
Autobahn,,1,A,Normal,Strategie,Brett,7.1,2022,1,4,90,150,12,3.81,,,,https://boardgamegeek.com/boardgame/348554/autobahn
Avant Carde,,4,A,Karten,Familie,Karten,7,2024,1,5,25,35,8,1.88,,,,https://boardgamegeek.com/boardgame/390163/avant-carde
Avanti!,,1,A,Kind,Party,Plättchen,6.8,2024,2,5,15,20,6,1.5,,,,https://boardgamegeek.com/boardgame/406734/avanti
Avanti!,,1,A,Normal,Party,Plättchen,6.8,2024,2,5,15,20,6,1.5,,,,https://boardgamegeek.com/boardgame/406734/avanti
